저작물명,앨범명,아티스트명,대리중개사명,제작사명
Rockabye (Feat. Sean Paul & Anne-Marie),Rockabye,Clean Bandit,Warner Music,Atlantic Records UK
"All I Wanna Do (K) (Feat. Hoody, Loco)",EVERYTHING YOU WANTED,박재범,"지니뮤직, Stone Music Entertainment",AOMG
너무너무너무,miss me?,아이오아이 (I.O.I),카카오 M,YMC엔터테인먼트
어떻게 지내,wonderlust,크러쉬 (CRUSH),카카오 M,아메바컬쳐
Don`t Wanna Know (Feat. Kendrick Lamar),Red Pill Blues (Deluxe Edition),Maroon 5,Universal Music,Interscope Records
내 옆에 그대인 걸,50 X HALF,다비치,Stone Music Entertainment,"Stone Music Entertainment, B2M Entertainment"
빌려줄게,EMPATHY,신용재,카카오 M,더바이브 엔터테인먼트
세 단어,세 단어,젝스키스,지니뮤직,YG Entertainment
숨,I am A Dreamer,박효신,카카오 M,글러브엔터테인먼트
끝,웃긴 밤,권진아,지니뮤직,안테나뮤직
Dancing King,Dancing King,"유재석, EXO",지니뮤직,SM Entertainment
"다정하게, 안녕히",구르미 그린 달빛 OST Part.5,성시경,NHN벅스,오우엔터테인먼트
The Greatest (Feat. Kendrick Lamar),The Greatest,Sia,Sony Music,"Monkey Puzzle Records, RCA Records"
러시안 룰렛 (Russian Roulette),Russian Roulette - The 3rd Mini Album,레드벨벳(Red Velvet),Dreamus,SM Entertainment
구르미 그린 달빛,구르미 그린 달빛 OST Part.3,거미,NHN벅스,오우엔터테인먼트
우주를 줄게,Full Album RED PLANET,볼빨간사춘기,NHN벅스,쇼파르뮤직
나만 안되는 연애,Full Album RED PLANET,볼빨간사춘기,NHN벅스,쇼파르뮤직
You(=I),Full Album RED PLANET,볼빨간사춘기,NHN벅스,쇼파르뮤직
심술,Full Album RED PLANET,볼빨간사춘기,NHN벅스,쇼파르뮤직
프리지아,Full Album RED PLANET,볼빨간사춘기,NHN벅스,쇼파르뮤직
Blow Your Mind (Mwah),Dua Lipa (Deluxe),Dua Lipa,Warner Music,Warner Music
목요일 밤 (Feat. 빈지노),목요일 밤,어반 자카파 (Urban Zakapa),카카오 M,메이크어스엔터테인먼트
너를 위해,달의 연인 - 보보경심 려 OST Part 1,"첸, 백현, 시우민 (EXO)",Stone Music Entertainment,"Stone Music Entertainment, 냠냠 Ent, SM Ent"
If You,If You,에일리 (Ailee),카카오 M,YMC엔터테인먼트
잠은 다 잤나봐요,구르미 그린 달빛 OST Part 1,"소유, 유승우",NHN벅스,오우엔터테인먼트
Lotto,LOTTO - The 3rd Album Repackage,EXO,지니뮤직,SM Entertainment
puzzle,puzzle,"씨잼 (C Jamm), 비와이(BewhY)",카카오 M,린치핀뮤직
휘파람,SQUARE ONE,BLACKPINK,지니뮤직,YG Entertainment
붐바야,SQUARE ONE,BLACKPINK,YG PLUS,YG PLUS
Let Me Love You (Feat. Justin Bieber),Encore,DJ Snake,Universal Music,"DJ Snake Music, Under Exclusive License To Intersc"
뜨거운 여름밤은 가고 남은 건 볼품없지만,MONKEY HOTEL,잔나비,카카오 M,페포니 뮤직
사랑해요,함부로 애틋하게 OST Part.9,김범수,카카오 M,"삼화네트웍스,iHQ,가지컨텐츠"
여름밤에 우린,여름밤에 우린,스탠딩 에그(Standing Egg),카카오 M,본(born)
Cold Water (Feat. Justin Bieber & MO),Cold Water,Major Lazer,Warner Music,Third Pardee Records LLC
