저작물명,앨범명,아티스트명,대리중개사명,제작사명
연예할래,CELEPRETTY,박보람,Stone Music Entertainment,"MMO엔터테인먼트, Stone Music Entertainment"
한번 더 말해줘 (Feat. 장한나),한번 더 말해줘,지누션,지니뮤직,YG Entertainment
품행제로,품행제로,블락비 바스타즈,Stone Music Entertainment,세븐시즌스
아예 (Ah Yeah),AH YEAH,EXID,Sony Music,예당엔터테인먼트
어머님이 누구니 (Feat. 제시),24/34,박진영,지니뮤직,JYP Entertainment
우연히 봄,냄새를 보는 소녀 OST Part 2,"로꼬 (LOCO), 유주 (여자친구)",카카오 M,도너츠뮤직
다른 남자 말고 너,Colors,miss A,지니뮤직,JYP Entertainment
CALL ME BABY,The 2nd Album `EXODUS`,EXO,지니뮤직,SM Entertainment
아무도 모르게 (Prod. by MC몽),언프리티 랩스타 Track 6,"치타, 에일리",Stone Music Entertainment,Stone Music Entertainment
꽃이 핀다,RE:,케이윌 (K.will),카카오 M,스타쉽엔터테인먼트
새벽 가로수길 (With 송유빈),새벽 가로수길,백지영,Stone Music Entertainment,뮤직웍스
Puss (Prod.by 라이머),언프리티 랩스타 SEMI FINAL,"지민, 아이언",Stone Music Entertainment,Stone Music Entertainment
두사랑 (Feat. 매드클라운),두사랑,다비치,Stone Music Entertainment,"MMO엔터테인먼트, Stone Music Entertainment"
See You Again (폴 워커 추모 엔딩곡),분노의 질주: 더 세븐 (Fast & Furious 7) OST,"Charlie Puth, Wiz Khalifa",Warner Music,Warner Music
Ice Cream Cake,The 1st Mini Album `Ice Cream Cake`,레드벨벳(Red Velvet),Dreamus,SM Entertainment
사월의 눈,사월의 눈,허각,카카오 M,플레이엠엔터테인먼트
Apple (Feat. 박재범),Hawwah,가인,카카오 M,"에이팝, 미스틱스토리"
The Time Goes On,Time Travel,비와이 (BewhY),루미넌트엔터테인먼트,$exy $treet & Yello Music
우린 알아,우린 알아,"양다일, 정키 (JungKey)",카카오 M,"브랜뉴뮤직, 도우즈 레코즈"
사랑 범벅 (Feat. 챈슬러 of the channels),SONG FOR YOU,MC몽,카카오 M,드림티 엔터테인먼트
시작이 좋아 2015 (Prod. By 버벌진트),언프리티 랩스타 Track 2,"지민, 슬옹",Stone Music Entertainment,Stone Music Entertainment
오빠야,신현희와김루트,신현희와김루트,미러볼뮤직,디 오션 뮤직 (D Ocean Music)
Samsara (Feat. Emila),Samsara,"Tungevaag, Raaban",Sony Music,Rca Records Label
My Type (Prod. by 버벌진트),언프리티 랩스타 Track 3,"제시(Jessi), 치타, 강남",Stone Music Entertainment,Stone Music Entertainment
Love Me Like You Do,Love Me Like You Do (영화 `그레이의 50가지 그림자` OST),Ellie Goulding,Universal Music,Polydor Ltd.
미쳐,Crazy,포미닛 (4minute),Universal Music,큐브엔터테인먼트
같은 시간 속의 너,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼,나얼,Stone Music Entertainment,"인넥스트트렌드, 산타뮤직"
그냥 (Just),Young,"자이언티(Zion.T), 크러쉬 (CRUSH)",카카오 M,아메바컬쳐
Worth It (Feat. Kid Ink),Worth It,Fifth Harmony,Sony Music,Syco Music/Epic
또 운다 또,DAVICHI HUG,다비치,Stone Music Entertainment,"MMO엔터테인먼트, Stone Music Entertainment"
슬픔 속에 그댈 지워야만 해,K팝 스타 시즌4 - 캐스팅 오디션 Part 1,"정승환, 박윤하",카카오 M,SBS 콘텐츠허브
유리구슬 (Glass Bead),1st Mini Album `Season Of Glass`,여자친구 (GFRIEND),지니뮤직,쏘스뮤직
팔베개 (Pillow) (Feat. 기현),NO.MERCY (노머시) Part 2,"소유, 기리보이 (Giriboy)",카카오 M,스타쉽 엑스
환청 (Feat. 나쑈(NaShow)),킬미힐미 OST Part 1,장재인,한국음반산업협회,팬엔터테인먼트
화 (Feat. 진실 of Mad Soul Child),Piece Of Mine,매드 클라운 (Mad Clown),카카오 M,스타쉽 엑스
목소리,보이지 않는 것들,노을,카카오 M,YNB Entertainment
Angel,Angel,"윤미래, 타이거JK, 비지",카카오 M,Feel Ghood Music
사랑에 빠지고 싶다,K팝 스타 시즌4 `사랑에 빠지고 싶다`,정승환,카카오 M,SBS 콘텐츠허브
니가 모르게 (You Don`t Know),LOCOMOTIVE,로꼬 (LOCO),카카오 M,AOMG
Santa Tell Me,Santa Tell Me,Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
LUV,Pink LUV,에이핑크 (Apink),카카오 M,플레이엠엔터테인먼트
HAPPY TOGETHER,HAPPY TOGETHER,박효신,Stone Music Entertainment,젤리피쉬 엔터테인먼트
GOOD BOY,GOOD BOY,GD X TAEYANG,지니뮤직,YG Entertainment
세 사람 (With 성시경),Da Capo,토이 (Toy),Stone Music Entertainment,안테나뮤직
Uptown Funk (Feat. Bruno Mars),Uptown Funk,Mark Ronson,Sony Music,Columbia
사뿐사뿐 (Like a Cat),사뿐사뿐,AOA,Stone Music Entertainment,FNC엔터테인먼트
나는 달라 (Feat. BOBBY),나는 달라,HI SUHYUN,지니뮤직,YG Entertainment
산다는 건 (Cheer Up),인생노트 (LIFE NOTE),홍진영,카카오 M,뮤직K
내 생애 가장 행복한 시간 (Feat. 허각),MISS ME OR DISS ME,MC몽,카카오 M,드림티 엔터테인먼트
내가 그리웠니 (Feat. 진실 of Mad Soul Child),MISS ME OR DISS ME,MC몽,카카오 M,드림티 엔터테인먼트
언제쯤이면 (Duet.아이유),피아노포르테 (Pianoforte),윤현상,카카오 M,로엔트리
SOFA,SOFA,크러쉬 (CRUSH),카카오 M,아메바컬쳐
"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",신발장,에픽하이 (Epik High),지니뮤직,YG Entertainment
헤픈엔딩 (Feat. 조원선 of 롤러코스터),신발장,에픽하이 (Epik High),지니뮤직,YG Entertainment
0,Time,비스트 (Beast),Universal Music,큐브엔터테인먼트
"화장 지웠어 (Feat. Zion.T, HA:TFELT) (No make up)",REDINGRAY,개코,카카오 M,아메바컬쳐
시간과 낙엽,시간과 낙엽,악동뮤지션 (AKMU),지니뮤직,YG Entertainment
GDFR (Feat. Sage The Gemini And Lookas),GDFR,Flo Rida,Warner Music,Atlantic Records UK
그게나야,동행,김동률,카카오 M,뮤직팜
틈,소유 X 어반자카파 (권순일 & 박용인) `틈`,"소유, 권순일, 박용인",카카오 M,스타쉽 엑스
손대지마,Magazine,에일리 (Ailee),NHN벅스,YMC엔터테인먼트
양화대교,양화대교,자이언티(Zion.T),카카오 M,아메바컬쳐
당신만이,슈퍼스타K6 곽진언 김필 임도혁,"곽진언, 김필, 임도혁",Stone Music Entertainment,Stone Music Entertainment
위잉위잉,20,혁오 (hyukoh),Sony Music,캐쉬미어레코드
너무 보고 싶어,연애의 발견 OST Part 6,어쿠스틱 콜라보,Universal Music,모그커뮤니케이션즈
독기,쇼미더머니3 씨잼 vs 아이언,아이언,Stone Music Entertainment,Stone Music Entertainment
"묘해, 너와",연애의 발견 OST Part 4,어쿠스틱 콜라보,Universal Music,모그커뮤니케이션즈
Sugar,V (Deluxe Edition),Maroon 5,Universal Music,Interscope Records
Animals,V (Deluxe Edition),Maroon 5,Universal Music,Interscope Records
연결고리#힙합,쇼미더머니3 Part 4,바비 (BOBBY),Stone Music Entertainment,Stone Music Entertainment
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,봉춤을 추네,잔나비,지니뮤직,페포니 뮤직
위아래,위아래,EXID,Sony Music,예당엔터테인먼트
너를 사랑해,괜찮아 사랑이야 OST Part 6,윤미래 (T),Stone Music Entertainment,"Stone Music Entertainment, 가지컨텐츠"
I Swear,SWEET & SOUR,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
Best Mistake (Feat. Big Sean),My Everything,Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
공허해,2014 S/S,WINNER,지니뮤직,YG Entertainment
끼부리지마,2014 S/S,WINNER,지니뮤직,YG Entertainment
예뻐졌다 (feat. 지코 Of 블락비),예뻐졌다,박보람,Stone Music Entertainment,"MMO엔터테인먼트, Stone Music Entertainment"
잠 못드는 밤 (feat. 펀치(Punch)),괜찮아 사랑이야 OST Part 3,크러쉬 (CRUSH),Stone Music Entertainment,"Stone Music Entertainment, 가지컨텐츠"
괜찮아 사랑이야,괜찮아 사랑이야 OST Part 2,다비치,Stone Music Entertainment,"Stone Music Entertainment, 가지컨텐츠"
Bang Bang,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Universal Music,Universal Music
HER,HER,블락비(Block B),Stone Music Entertainment,세븐시즌스 & Stone Music Entertainment
최고의 행운,괜찮아 사랑이야 OST Part 1,첸 (CHEN),Stone Music Entertainment,"Stone Music Entertainment, 가지컨텐츠"
Touch my body,TOUCH & MOVE,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
Lost Stars,영화 Begin Again OST,Adam Levine,Universal Music,Interscope Records
No One Else Like You,영화 Begin Again OST,Adam Levine,Universal Music,Interscope Records
Tell Me If You Wanna Go Home,영화 Begin Again OST,Keira Knightley,Universal Music,Interscope Records
Darling,GIRL`S DAY EVERYDAY #4,걸스데이(Girl`s Day),카카오 M,드림티 엔터테인먼트
A Step You Can`t Take Back,영화 Begin Again OST,Keira Knightley,Universal Music,Interscope Records
Like A Fool,영화 Begin Again OST,Keira Knightley,Universal Music,Interscope Records
A Higher Place,영화 Begin Again OST,Adam Levine,Universal Music,Interscope Records
Lost Stars,영화 Begin Again OST,Keira Knightley,Universal Music,Interscope Records
이제 그만 싸우자,`A CUBE` FOR SEASON # SKY BLUE,"허각,정은지",카카오 M,플레이엠엔터테인먼트
애타는 마음,애타는 마음,"울랄라세션, 아이유(IU)",카카오 M,엔에이피엔터테인먼트
오늘부터 1일 (Day 1),ONE FINE DAY,케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
Thinking Out Loud,X (Deluxe Edition),Ed Sheeran,Warner Music,East West Records Uk Ltd
Photograph,X (Deluxe Edition),Ed Sheeran,Warner Music,East West Records Uk Ltd
단발머리 (Short Hair),단발머리,AOA,Stone Music Entertainment,FNC엔터테인먼트
Maps,Maps,Maroon 5,Universal Music,Interscope Records
Good Luck,Good Luck,비스트 (Beast),Universal Music,큐브엔터테인먼트
한여름밤의 꿀,"San E, 레이나 Project Single `한여름밤의 꿀`","산이(San E), 레이나",카카오 M,"플레디스, 브랜뉴뮤직"
잊혀지다 (Feat. 양다일),Emotion,정키 (Jung key),카카오 M,"Jung Key, The Ambassador"
나 왜이래,너희들은 포위됐다 OST Part 1,산이 (San E),카카오 M,리웨이뮤직앤미디어
I`m Not The Only One,In The Lonely Hour,Sam Smith,Universal Music,Capitol Records
사람냄새,사람냄새,"Gary (개리), 정인",카카오 M,리쌍컴퍼니
Stay With Me,In The Lonely Hour (Standard Edition),Sam Smith,Universal Music,Capitol Records
Lay Me Down,In The Lonely Hour (Standard Edition),Sam Smith,Universal Music,Capitol Records
너를 너를 너를,CONTINUUM,플라이 투 더 스카이 (Fly To The Sky),카카오 M,H-ENTERCOM
너의 의미 (Feat. 김창완),꽃갈피,아이유 (IU),카카오 M,로엔트리
나의 옛날 이야기,꽃갈피,아이유 (IU),카카오 M,로엔트리
너를 원해 (Feat. Beenzino),Want U,정기고 (Junggigo),카카오 M,스타쉽 엑스
미운오리새끼,미운오리새끼,god,Stone Music Entertainment,"아이에이치큐,god"
중독 (Overdose),The 2nd Mini Album ‘중독 (Overdose)’,EXO-K,지니뮤직,SM Entertainment
Problem (Feat. Iggy Azalea),Problem,Ariana Grande,Universal Music,"Republic Records, a division of UMG Recordings,Inc"
너 사용법,너 사용법,에디킴,카카오 M,미스틱스토리
Bad (Feat. Vassy) (Radio Edit),Bad (Radio Edit),David Guetta & Showtek,Warner Music,Parlophone France
2,PLAY,악동뮤지션 (AKMU),지니뮤직,YG Entertainment
Give Love,PLAY,악동뮤지션 (AKMU),YG PLUS,YG Entertainment
인연,불후의 명곡 - 전설을 노래하다 (이선희 2편),"윤민수, 신용재",카카오 M,KBS미디어
견딜만해 (Feat. 효린),표독,매드 클라운 (Mad Clown),카카오 M,스타쉽 엑스
가끔,가끔,크러쉬 (CRUSH),카카오 M,아메바컬쳐
Mr. Chu (On Stage),Pink Blossom,에이핑크 (Apink),카카오 M,플레이엠엔터테인먼트
그 중에 그대를 만나,(SERENDIPITY) 30주년 기념앨범,이선희,카카오 M,후크엔터테인먼트
흔한 노래,흔한 노래... 흔한 멜로디...,임창정,카카오 M,NH EMG
감아 (Feat. Crush),감아,로꼬 (LOCO),카카오 M,AOMG
까탈레나 (Catallena),THE THIRD SINGLE CATALLENA,오렌지 캬라멜 (Orange Caramel),카카오 M,플레디스
Come Back Home,2NE1 NEW ALBUM `CRUSH`,2NE1 (투애니 원),지니뮤직,YG Entertainment
Mr.Mr.,The 4th Mini Album “Mr.Mr.”,소녀시대,지니뮤직,SM Entertainment
보름달 (Feat. Lena),Full Moon,선미,지니뮤직,JYP Entertainment
너의 모든 순간,별에서 온 그대 OST Part 7,성시경,카카오 M,SBS 콘텐츠허브
썸 (Feat. 릴보이 Of 긱스),썸,"소유, 정기고",카카오 M,스타쉽 엑스
안녕,별에서 온 그대 OST Part 4,효린,카카오 M,SBS 콘텐츠허브
짧은 치마 (Miniskirt),짧은 치마,AOA,Stone Music Entertainment,FNC엔터테인먼트
Something,걸스데이 미니앨범 3집,걸스데이 (Girl`s Day),카카오 M,드림티 엔터테인먼트
그대가 분다,UNVEILING,엠씨더맥스 (M.C The Max),카카오 M,뮤직앤뉴
Happy (Gru`s Theme From Despicable Me 2),Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams,Sony Music,Sony Music
My Destiny,별에서 온 그대 OST Part 1,린 (LYn),카카오 M,SBS 콘텐츠허브
금요일에 만나요 (Feat. 장이정),Modern Times - Epilogue,아이유 (IU),카카오 M,카카오 M
"Dali, Van, Picasso","Dali, Van, Picasso",빈지노 (Beenzino),Stone Music Entertainment,일리네어
겨울 고백,Jelly Christmas 2013,"성시경, 박효신, 서인국, 빅스 (VIXX), 여동생",Stone Music Entertainment,젤리피쉬 엔터테인먼트
12월의 기적 (Miracles in December),겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`,EXO,Dreamus,SM Entertainment
Love Is An Open Door,Frozen OST,"Kristen Bell, Santino Fontana",Universal Music,Walt Disney Records
How Long Will I Love You,About Time OST (어바웃타임 OST),Ellie Goulding,Universal Music,Decca
거짓말 거짓말 거짓말,고독의 의미,이적,카카오 M,뮤직팜
너에게,응답하라 1994 OST Part 2,성시경,Stone Music Entertainment,Stone Music Entertainment
분홍신,Modern Times,아이유 (IU),카카오 M,카카오 M
처음엔 사랑이란게,버스커버스커 2집,버스커 버스커 (Busker Busker),"지니뮤직, Stone Music Entertainment","청춘뮤직, Stone Music Entertainment"
나란놈이란,나란놈이란,임창정,NHN벅스,NH EMG
착해 빠졌어 (Stupid In Love),착해 빠졌어 (Stupid In Love),"소유, 매드 클라운 (Mad Clown)",카카오 M,스타쉽 엑스
삐딱하게 (Crooked),쿠데타 (COUP D`ETAT),G-Dragon,지니뮤직,YG Entertainment
Touch Love,주군의 태양 OST Part 4,윤미래 (T),카카오 M,본 팩토리 & 로엔엔터테인먼트
갖고놀래 (Feat. 다이나믹 듀오),갖고놀래,범키,카카오 M,브랜뉴뮤직
으르렁 (Growl),XOXO (Kiss & Hug) Repackage,EXO,지니뮤직,SM Entertainment
아는사람 얘기,아는사람 얘기,산이 (San E),카카오 M,브랜뉴뮤직
아모르 파티,아모르 파티,김연자,한국음반산업협회,한국음반산업협회
U & I,A`s Doll House,에일리 (Ailee),NHN벅스,YMC엔터테인먼트
NoNoNo,Secret Garden,에이핑크 (Apink),Stone Music Entertainment,플레이엠엔터테인먼트
오늘따라 보고싶어서 그래,여름날의 추억,다비치,지니뮤직,코어컨텐츠미디어
Baaam (Feat. Muzie),7집 Lucky Numbers,다이나믹 듀오 (Dynamic Duo),카카오 M,아메바컬쳐
빠빠빠,빠빠빠,크레용팝 (Crayon Pop),Stone Music Entertainment,크롬엔터테인먼트
My Love,My Love,이승철,Stone Music Entertainment,"Stone Music Entertainment, 진앤원뮤직웍스, 백엔터테인먼트"
All Right,A Voice,김예림 (투개월),Stone Music Entertainment,미스틱스토리
Give It To Me,2집 Give It To Me,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
넌 너무 야해 (The Way You Make Me Melt) (Feat. 긱스),Give It To Me,씨스타 (Sistar),카카오 M,스타쉽엔터테인먼트
너 하나야,구가의 서 OST Part 7,포맨 (4Men),카카오 M,삼화네트웍스
미친연애 (Bad Girl) (Feat. E-Sens),미친연애,범키,카카오 M,브랜뉴뮤직
짧은머리,`A Cube` For Season # Blue,"허각, 정은지 (에이핑크)",Stone Music Entertainment,플레이엠엔터테인먼트
Bad Girls,5집 Monochrome,이효리,Stone Music Entertainment,"B2M 엔터테인먼트, Stone Music Entertainment"
잘 있나요,구가의 서 OST Part 6,더 원 (The One),카카오 M,삼화네트웍스
청혼하는 거예요,The 5th Album Vol.2 `Thank You`,포맨 (4Men),카카오 M,YWHO & 해피페이스 Ent.
미스코리아,5집 Monochrome,이효리,Stone Music Entertainment,"B2M 엔터테인먼트, Stone Music Entertainment"
꼭 한번 만나고 싶다,5집 Organic Sound,바이브 (Vibe),카카오 M,뮤직앤뉴
Yoo Hoo,Letter From Secret,시크릿 (Secret),카카오 M,TS엔터테인먼트
Wash Away (Feat. 에일리),1집 Backpack,긱스 (Geeks),지니뮤직,"WA엔터테인먼트, 그랜드라인엔터테인먼트"
이름이 뭐예요?,Name Is 4Minute,포미닛 (4Minute),Universal Music,큐브엔터테인먼트
I Love You,내 연애의 모든 것 OST Part 3,악동뮤지션 (AKMU),카카오 M,SBS 콘텐츠허브
Hello (Feat. 버벌진트),19집 Hello,조용필,Universal Music,필레코드
Bounce,Bounce,조용필,Universal Music,필레코드
Gentleman,Gentleman,싸이 (Psy),지니뮤직,YG Entertainment
오늘 밤 (Feat. 배치기),LYn 8th #1 `유리 심장`,린 (LYn),카카오 M,뮤직앤뉴
좋아 (Joah),Joah,박재범,Universal Music,IHQ
Somebody,Somebody,"15& (박지민, 백예린)",지니뮤직,JYP Entertainment
Love Blossom (러브블러썸),3집 The 3rd Album Part 2 `Love Blossom (러브블러썸)`,케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
외국인의 고백,SBS K팝 스타 시즌2 TOP 3 Part 2,악동뮤지션 (AKMU),카카오 M,SBS 콘텐츠허브
어때 (Feat. 하림),어때,긱스 (Geeks),지니뮤직,"WA엔터테인먼트, 그랜드라인엔터테인먼트"
녹는 중 (Feat. 버벌진트),녹는 중,다비치,카카오 M,코어컨텐츠미디어
The Bad Touch (Gordon & Doyle Edit),The Bad Touch (Single),DJ Gollum Vs. EmpyreOne,Sony Music,프로비트뮤직컴퍼니
Rose,1집 First Love,이하이,지니뮤직,YG Entertainment
Counting Stars,Native (Deluxe Edition),OneRepublic,Universal Music,Mosley Music/Interscope Records
Man In Love (남자가 사랑할때),New Challenge,인피니트 (Infinite),카카오 M,울림 엔터테인먼트
기대해,1집 기대,걸스데이 (Girl`s Day),카카오 M,드림티 엔터테인먼트
그리고 하나,"그 겨울, 바람이 분다 OST Part 5",태연 (TAEYEON),카카오 M,골든썸
Crescendo (크레셴도),SBS K팝 스타 시즌2 TOP 6,악동뮤지션 (AKMU),카카오 M,SBS 콘텐츠허브
It`s Over,1집 First Love,이하이,지니뮤직,YG Entertainment
어느 봄날,2집 어느 봄날,2AM,지니뮤직,빅히트엔터테인먼트 & JYP엔터테인먼트
거북이,Mystic Ballad Part 1,다비치,카카오 M,코어컨텐츠미디어
눈꽃,"그 겨울, 바람이 분다 OST Part 3",거미,카카오 M,골든썸
긴 생머리 그녀 (Miss Right),1집 No.1,틴 탑 (Teen Top),카카오 M,티오피미디어
이게 사랑이 아니면 (Feat. 에일리),이게 사랑이 아니면,버벌진트 (Verbal Jint),NHN벅스,브랜뉴뮤직
겨울사랑,"그 겨울, 바람이 분다 OST Part 2",더 원 (The One),카카오 M,골든썸
Dream Girl,SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`,샤이니 (SHINee),지니뮤직,SM Entertainment
모르시나요,아이리스Ⅱ OST Part 1,다비치,Stone Music Entertainment,태원엔터테인먼트
1440,1집 Little Giant,허각,Stone Music Entertainment,플레이엠엔터테인먼트
있다 없으니까 (Gone Not Around Any Longer),있다 없으니까,씨스타19,카카오 M,스타쉽엔터테인먼트
안녕 나야,The 5th Album Vol.1 (실화),포맨 (4Men),Stone Music Entertainment,YWHO & 해피페이스 Ent.
눈물 (Feat. 유진),이단옆차기 프로젝트 Vol.02,리쌍,카카오 M,더블킥엔터테인먼트
모노드라마,Little Giant,"허각, 유승우",Stone Music Entertainment,플레이엠엔터테인먼트
눈물샤워 (Feat. 에일리),4집 Part 2,배치기,NHN벅스,YMC엔터테인먼트
I’m Sorry,Re:Blue,씨엔블루 (CNBLUE),Stone Music Entertainment,FNC엔터테인먼트
Special Girl (Feat. Bumkey),Fly High,인피니트H,카카오 M,울림 엔터테인먼트
시작이 좋아 (Feat. 강민희),시작이 좋아,버벌진트 (Verbla Jint),NHN벅스,브랜뉴뮤직
강북멋쟁이,박명수의 어떤가요,정형돈,지니뮤직,아이엠비씨
싫다,싫다,백지영,카카오 M,더블유에스엔터테인먼트
I Got A Boy,4집 I Got A Boy,소녀시대,지니뮤직,SM Entertainment
혼자라고 생각말기,학교 OST Part 3,김보경,Sony Music,라이트어치브먼트그룹
Dancing Queen,4집 I Got A Boy,소녀시대,지니뮤직,SM Entertainment
Goodbye To Romance,Antique Romance,써니힐 (Sunny Hill),카카오 M,카카오 M
매력있어,SBS K팝 스타 시즌2 매력있어,악동뮤지션 (AKMU),카카오 M,SBS 콘텐츠허브
Treasure,Unorthodox Jukebox,Bruno Mars,Warner Music,Warner Music
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,Warner Music,Warner Music
크리스마스니까,Jelly Christmas 2012 Heart Project,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)","지니뮤직, Stone Music Entertainment",젤리피쉬 엔터테인먼트
Talk That,Talk That,시크릿 (Secret),카카오 M,TS엔터테인먼트
카페인,The First Collage,양요섭,Universal Music,큐브엔터테인먼트
다리꼬지마,SBS K팝 스타 시즌2 `다리꼬지마`,악동뮤지션 (AKMU),카카오 M,SBS 콘텐츠허브
되돌리다,숲,이승기,카카오 M,후크엔터테인먼트
허수아비,허수아비,이하이,지니뮤직,YG Entertainment
나쁜 사람,원앤원 (1 & 1),주니엘 (Juniel),Stone Music Entertainment,FNC엔터테인먼트
힐링이 필요해,슈퍼스타K4 TOP12 Part 6,로이킴,Stone Music Entertainment,Stone Music Entertainment
하지 못한 말,4집 Time For Love,노을,카카오 M,ITM
만약에 말야 (전우성 Solo),4집 Time For Love,노을,카카오 M,ITM
"Officially Missing You, Too",re;code Episode I,"긱스 (Geeks), 소유",카카오 M,카카오 M
"? (물음표) (Feat. 최자, Zion.T)",Primary And The Messengers LP,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
"씨스루 (Feat. Zion.T, 개코)",Primary And The Messengers LP,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
똑같은 사랑 똑같은 이별,-2,어반 자카파 (Urban Zakapa),NHN벅스,플럭서스
"1,2,3,4 (원,투,쓰리,포)","1,2,3,4 (원,투,쓰리,포)",이하이,지니뮤직,YG Entertainment
귀여워,귀여워,"별, 권정열 (10cm)",카카오 M,QUAN Entertainment
독 (Feat. E-Sens),Primary And The Messengers LP,프라이머리 (Primary),Stone Music Entertainment,아메바컬쳐
휘파람,슈퍼스타K4 TOP12 Part 2,로이킴,Stone Music Entertainment,Stone Music Entertainment
Ice Cream,Melting,현아 (HyunA),Universal Music,큐브엔터테인먼트
닐리리맘보,1집 Block Buster,블락비 (Block B),카카오 M,스타덤
저녁 하늘,Invitation,에일리 (Ailee),카카오 M,YMC엔터테인먼트
먼지가 되어,슈퍼스타K4 TOP12 Part 1,"로이킴, 정준영",Stone Music Entertainment,Stone Music Entertainment
남자 없이 잘 살아,Independent Women Part Ⅲ,Miss A,지니뮤직,"AQ엔터테인먼트, JYP 엔터테인먼트"
My Son,슈퍼스타K 4 TOP12 Part 1,유승우,Stone Music Entertainment,Stone Music Entertainment
말리꽃 (원곡가수 이승철),`나는 가수다 2` 10월 B조 경연,이정,아이엠비씨,아이엠비씨
이러지마 제발 (Please Don`t...),The 3rd Album Part 1,케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
Fine Thank You And You,2집 2.0,10cm,미러볼뮤직,텐뮤직
춥다 (Feat. 이하이),7집 99,에픽하이 (Epik High),지니뮤직,YG Entertainment
피어나,Talk About S.,가인 (브라운 아이드 걸스),카카오 M,카카오 M
아마추어,아마추어,이승철,Stone Music Entertainment,㈜진엔원뮤직웍스&Stone Music Entertainment
사랑은 눈꽃처럼,세상 어디에도 없는 착한남자 OST Part 1,XIA(준수),카카오 M,가지컨텐츠
Missing You (Feat. 김윤아),One Of A Kind,G-Dragon,지니뮤직,YG Entertainment
크레용 (Crayon),One Of A Kind,G-Dragon,지니뮤직,YG Entertainment
그XX,One Of A Kind,G-Dragon,지니뮤직,YG Entertainment
아프다,아프다,허각,Stone Music Entertainment,젤리피쉬엔터테인먼트 & 에이큐브엔터테인먼트
Poison,Poison,시크릿 (Secret),카카오 M,TS엔터테인먼트
립스틱 (Lip Stick),립스틱 (Lip Stick),오렌지 캬라멜 (Orange Caramel),카카오 M,플레디스
좋겠어 (I Wish),4집 Five Treasure Box,FTISLAND (FT 아일랜드),Stone Music Entertainment,FNC엔터테인먼트
느린노래,I`m Baek,백아연,지니뮤직,"AQ엔터테인먼트, JYP 엔터테인먼트"
니가 싫어,니가 싫어,어반 자카파 (Urban Zakapa),NHN벅스,플럭서스
Sexy Love,Mirage,티아라 (T-ara),카카오 M,코어컨텐츠미디어
우리 사랑 이대로,응답하라 1997 Love Story Part 2,"정은지 (에이핑크), 서인국",Stone Music Entertainment,젤리피쉬엔터테인먼트 & 에이큐브엔터테인먼트
홀로 (Feat. 김나영),Break Up,정키 (Jung Key),인플래닛,Jung Key & The Ambassador
All For You,응답하라 1997 Love Story Part 1,"정은지 (에이핑크), 서인국",Stone Music Entertainment,젤리피쉬엔터테인먼트 & 에이큐브엔터테인먼트
Pandora,PANDORA,카라 (KARA),Stone Music Entertainment,DSP미디어
I Need You,I Need You,"허각, 지아 (Zia)",카카오 M,뷰가엔터테인먼트
달빛바다,LOEN TREE Summer Story,"아이유 (IU), 피에스타(FIESTAR)",카카오 M,카카오 M
남자도 우나요,The S Part 1,다비치,카카오 M,INS엔터테인먼트
가수가 된 이유,24,신용재,Stone Music Entertainment,해피페이스 엔터테인먼트
자꾸만 자꾸만,24,신용재,Stone Music Entertainment,해피페이스 엔터테인먼트
Only One,7집 Only One,보아 (BoA),지니뮤직,SM Entertainment
아름다운 밤이야,Midnight Sun,비스트 (Beast),Universal Music,큐브엔터테인먼트
한여름밤의 꿈,Brown Eyed Girls The Original,브라운 아이드 걸스,카카오 M,내가 네트워크
어땠을까 (Feat. 박정현),6집 싸이6甲 Part 1,싸이 (Psy),YG PLUS,YG Entertainment
강남스타일,6집 싸이6甲 Part 1,싸이 (Psy),지니뮤직,YG Entertainment
뜨거운 안녕 (Feat. 성시경),6집 싸이6甲 Part 1,싸이 (Psy),지니뮤직,YG Entertainment
Midnight (별 헤는 밤),Midnight (별 헤는 밤),비스트 (Beast),Universal Music,큐브엔터테인먼트
